outcome,analysis,adjustment,ptime_covid,num_events_covid,rate_covid,ptime_pneumonia,num_events_pneumonia,rate_pneumonia,hr,lc,uc
stroke,stroke,crude,4521015,630,4.2414427,9537733,787,2.5115311,1.7542299,1.5774994,1.95076
stroke,stroke,age_sex,4521015,630,4.2414427,9537733,787,2.5115311,1.7513952,1.5374858,1.9950656
stroke,stroke_no_gp,crude,4540800,472,3.1638699,9570916,500,1.5901039,2.0530982,1.8066925,2.3331101
stroke,stroke_no_gp,age_sex,4540800,472,3.1638699,9570916,500,1.5901039,1.9950397,1.6993603,2.3421659
stroke,stroke_cens_gp,crude,4533496,535,3.5919437,9556397,634,2.019315,1.8358912,1.6332304,2.0636995
stroke,stroke_cens_gp,age_sex,4533496,535,3.5919437,9556397,634,2.019315,1.7953038,1.5528122,2.0756638
dvt,dvt,crude,4547542,285,1.9075552,9558144,578,1.8406162,1.0598744,.9166624,1.2254608
dvt,dvt,age_sex,4547542,285,1.9075552,9558144,578,1.8406162,1.030477,.8700406,1.2204982
dvt,dvt_no_gp,crude,4559492,186,1.241668,9582687,370,1.1752315,1.0633436,.88676482,1.275084
dvt,dvt_no_gp,age_sex,4559492,186,1.241668,9582687,370,1.1752315,1.0238605,.82919973,1.2642193
dvt,dvt_cens_gp,crude,4552033,255,1.7050761,9565430,530,1.6864767,1.0358611,.88888699,1.207137
dvt,dvt_cens_gp,age_sex,4552033,255,1.7050761,9565430,530,1.6864767,1.0216014,.85385394,1.2223045
pe,pe,crude,4517225,664,4.4740963,9490379,1143,3.6658244,1.2656672,1.1484491,1.3948493
pe,pe,age_sex,4517225,664,4.4740963,9490379,1143,3.6658244,1.1492279,1.0318547,1.279952
pe,pe_no_gp,crude,4549154,449,3.0041711,9544478,690,2.2004216,1.4352382,1.271422,1.6201615
pe,pe_no_gp,age_sex,4549154,449,3.0041711,9544478,690,2.2004216,1.326465,1.1568907,1.5208951
pe,pe_cens_gp,crude,4541227,513,3.438374,9533024,793,2.5319288,1.4252387,1.2729406,1.5957581
pe,pe_cens_gp,age_sex,4541227,513,3.438374,9533024,793,2.5319288,1.3144329,1.157867,1.4921695
heart_failure,heart_failure,crude,4293162,2647,18.766602,8777783,7745,26.856262,.70728499,.67603344,.73998117
heart_failure,heart_failure,age_sex,4293162,2647,18.766602,8777783,7745,26.856262,.81983113,.77514702,.86709112
heart_failure,heart_failure_no_gp,crude,4328473,2375,16.700823,8928957,6408,21.843929,.77399081,.73747426,.81231552
heart_failure,heart_failure_no_gp,age_sex,4328473,2375,16.700823,8928957,6408,21.843929,.89015967,.83780396,.94578713
heart_failure,heart_failure_cens_gp,crude,4313173,2496,17.613947,8874181,6958,23.865202,.74902737,.71472275,.78497857
heart_failure,heart_failure_cens_gp,age_sex,4313173,2496,17.613947,8874181,6958,23.865202,.86327285,.81425655,.91523975
mi,mi,crude,4587897,338,2.2423944,9542281,730,2.3285182,.95423388,.83600414,1.0891839
mi,mi,age_sex,4587897,338,2.2423944,9542281,730,2.3285182,1.0234557,.87290221,1.1999758
mi,mi_no_gp,crude,4599872,261,1.7270453,9574865,466,1.4813656,1.1543238,.98768777,1.3490735
mi,mi_no_gp,age_sex,4599872,261,1.7270453,9574865,466,1.4813656,1.2340972,1.02063,1.4922116
mi,mi_cens_gp,crude,4595248,293,1.9407413,9568620,534,1.6986383,1.1465149,.99064136,1.3269144
mi,mi_cens_gp,age_sex,4595248,293,1.9407413,9568620,534,1.6986383,1.2513509,1.0483048,1.4937251
aki,aki,crude,4330268,1984,13.945558,9083117,3933,13.179472,1.0492729,.99279416,1.1089646
aki,aki,age_sex,4330268,1984,13.945558,9083117,3933,13.179472,1.1687382,1.0935878,1.2490531
t1dm,t1dm,crude,3123377,12,.11694074,6851381,7,.031097746,3.9237125,1.570761,9.8013134
t1dm,t1dm,age_sex,3123377,12,.11694074,6851381,7,.031097746,3.4534507,1.2129021,9.83288
t2dm,t2dm,crude,3102918,289,2.834892,6792517,627,2.8096085,1.019461,.88537741,1.1738507
t2dm,t2dm,age_sex,3102918,289,2.834892,6792517,627,2.8096085,1.0854659,.9295001,1.2676021
