comparison,outcome,analysis,adjustment,variable,category,rate_ppm_covid,rate_ppm_control_2020,hr,lc,uc
control_2020,stroke,in_hosp,crude,Overall,0,44.446884,,,,
control_2020,stroke,in_hosp,crude,History of stroke,0,45.444279,,,,
control_2020,stroke,in_hosp,crude,History of stroke,1,36.899651,,,,
control_2020,stroke,in_hosp,age_sex,Overall,0,44.446884,,1,,
control_2020,stroke,in_hosp,age_sex,History of stroke,0,45.444279,,1,,
control_2020,stroke,in_hosp,age_sex,History of stroke,1,36.899651,,1,,
control_2020,stroke,in_hosp,full,Overall,0,44.446884,,1,,
control_2020,stroke,in_hosp,full,History of stroke,0,45.444279,,1,,
control_2020,stroke,in_hosp,full,History of stroke,1,36.899651,,1,,
control_2020,stroke,post_hosp,crude,Overall,0,2.9060211,.4448038,6.460639,5.4911699,7.6012678
control_2020,stroke,post_hosp,crude,History of stroke,0,1.5700312,.36249569,4.3096299,3.5081222,5.29426
control_2020,stroke,post_hosp,crude,History of stroke,1,17.599113,6.3235474,2.6931033,1.9731214,3.6758027
control_2020,stroke,post_hosp,age_sex,Overall,0,2.9060211,.4448038,6.901062,5.864449,8.1209097
control_2020,stroke,post_hosp,age_sex,History of stroke,0,1.5700312,.36249569,4.7965517,3.9028172,5.8949485
control_2020,stroke,post_hosp,age_sex,History of stroke,1,17.599113,6.3235474,2.936718,2.1481905,4.0146871
control_2020,stroke,post_hosp,full,Overall,0,2.9060211,.4448038,5.7351408,4.7264276,6.9591336
control_2020,stroke,post_hosp,full,History of stroke,0,1.5700312,.36249569,4.6631804,3.666672,5.9305143
control_2020,stroke,post_hosp,full,History of stroke,1,17.599113,6.3235474,2.9935248,2.0613046,4.3473396
control_2020,stroke,post_hosp_gp,crude,Overall,0,3.520582,.4448038,7.8218679,6.6923838,9.1419773
control_2020,stroke,post_hosp_gp,crude,History of stroke,0,1.9748241,.36249569,5.4149938,4.4637923,6.5688891
control_2020,stroke,post_hosp_gp,crude,History of stroke,1,20.621084,6.3235474,3.1559293,2.3249941,4.2838345
control_2020,stroke,post_hosp_gp,age_sex,Overall,0,3.520582,.4448038,8.3346949,7.1299634,9.7429857
control_2020,stroke,post_hosp_gp,age_sex,History of stroke,0,1.9748241,.36249569,6.0034256,4.9468608,7.2856545
control_2020,stroke,post_hosp_gp,age_sex,History of stroke,1,20.621084,6.3235474,3.3967557,2.4986572,4.61766
control_2020,stroke,post_hosp_gp,full,Overall,0,3.520582,.4448038,6.8967838,5.725945,8.3070345
control_2020,stroke,post_hosp_gp,full,History of stroke,0,1.9748241,.36249569,5.5627799,4.4259977,6.9915361
control_2020,stroke,post_hosp_gp,full,History of stroke,1,20.621084,6.3235474,3.5818517,2.4848483,5.163157
control_2020,dvt,in_hosp,crude,Overall,0,20.619688,,,,
control_2020,dvt,in_hosp,crude,History of dvt,0,19.660519,,,,
control_2020,dvt,in_hosp,crude,History of dvt,1,36.078259,,,,
control_2020,dvt,in_hosp,age_sex,Overall,0,20.619688,,1,,
control_2020,dvt,in_hosp,age_sex,History of dvt,0,19.660519,,1,,
control_2020,dvt,in_hosp,age_sex,History of dvt,1,36.078259,,1,,
control_2020,dvt,in_hosp,full,Overall,0,20.619688,,1,,
control_2020,dvt,in_hosp,full,History of dvt,0,19.660519,,1,,
control_2020,dvt,in_hosp,full,History of dvt,1,36.078259,,1,,
control_2020,dvt,post_hosp,crude,Overall,0,1.3632433,.11028578,12.193831,9.1391764,16.269466
