group,outcome,time,variable,category,personTime,numEvents,rate,lc,uc,rate_ppm,lc_ppm,uc_ppm
covid,stroke,Full period,Overall,0,8132098,1300,.00015986034,.00015140236,.00016879082,.48657492,.46083093,.51375705
covid,stroke,Full period,agegroup,1,1788967,58,.000032420943,.000025064406,.000041936666,.098681249,.076289788,.12764473
covid,stroke,Full period,agegroup,2,1394245,104,.000074592339,.000061549857,.000090398542,.22704042,.18734238,.27515057
covid,stroke,Full period,agegroup,3,1397959,163,.00011659855,.00010000505,.00013594537,.35489684,.30439037,.41378373
covid,stroke,Full period,agegroup,4,1603017,342,.00021334771,.0001918935,.00023720054,.64937711,.58407587,.72197914
covid,stroke,Full period,agegroup,5,1947910,633,.00032496368,.00030060942,.00035129103,.9891082,.91497993,1.0692421
covid,stroke,Full period,male,0,3872677,571,.00014744324,.00013583234,.00016004662,.44878036,.41343966,.48714191
covid,stroke,Full period,male,1,4259421,729,.00017115002,.00015916624,.00018403606,.52093786,.48446226,.56015974
covid,stroke,Full period,ethnicity,1,4988730,887,.00017780076,.00016647654,.00018989528,.54118103,.50671297,.57799375
covid,stroke,Full period,ethnicity,2,84606,7,.000082736449,.000039443272,.00017354848,.25182906,.12005546,.52823818
covid,stroke,Full period,ethnicity,3,853702,95,.00011128005,.000091009322,.00013606572,.33870864,.27700964,.41415003
covid,stroke,Full period,ethnicity,4,279655,24,.000085820029,.000057522517,.00012803817,.2612147,.17508416,.38971618
covid,stroke,Full period,ethnicity,5,145498,10,.000068729467,.000036980215,.00012773694,.20919532,.11255853,.38879934
covid,stroke,Full period,ethnicity,6,1779907,277,.00015562611,.00013833711,.00017507584,.47368699,.42106357,.5328871
covid,stroke,Full period,af,0,7059531,950,.00013456984,.000126279,.00014340504,.40959695,.38436171,.43648908
covid,stroke,Full period,af,1,1072567,350,.00032631995,.00029386304,.00036236166,.99323636,.8944456,1.1029383
covid,stroke,Full period,anticoag_rx,0,7130566,1008,.00014136326,.00013290037,.00015036503,.4302744,.4045155,.45767355
covid,stroke,Full period,anticoag_rx,1,1001532,292,.00029155333,.00025995923,.00032698724,.88741541,.79125088,.99526739
covid,stroke,Full period,long_hosp_stay,0,4305004,399,.000092682843,.000084020634,.00010223809,.28210342,.25573781,.31118718
covid,stroke,Full period,long_hosp_stay,1,3827094,901,.00023542668,.00022054541,.00025131204,.71657997,.67128509,.76493102
covid,stroke,0 days,Overall,0,1882315,766,.00040694571,.00037912402,.00043680906,1.238641,1.1539587,1.3295376
covid,stroke,30 days,Overall,0,1307810,163,.00012463584,.00010689852,.00014531625,.37936035,.32537237,.44230634
covid,stroke,60 days,Overall,0,999677,99,.00009903199,.000081325459,.00012059366,.30142862,.24753436,.36705694
covid,stroke,90 days,Overall,0,752136,62,.0000824319,.000064267675,.00010572995,.25090209,.19561474,.32181552
covid,stroke,120 days,Overall,0,3190160,210,.000065827422,.000057500067,.000075360767,.20036222,.17501582,.22937934
covid,stroke_no_gp,Full period,Overall,0,8166199,1009,.0001235581,.0001161647,.00013142206,.37607998,.3535763,.40001589
covid,stroke_no_gp,Full period,agegroup,1,1792005,36,.00002008923,.000014490934,.000027850321,.061146595,.044106778,.084769413
covid,stroke_no_gp,Full period,agegroup,2,1399468,63,.000045017106,.000035167075,.000057626054,.13702081,.10703979,.1753993
covid,stroke_no_gp,Full period,agegroup,3,1404417,118,.000084020627,.000070149807,.00010063415,.25573778,.21351847,.3063052
covid,stroke_no_gp,Full period,agegroup,4,1612164,258,.00016003335,.00014165013,.00018080231,.4871015,.43114761,.55031705
covid,stroke_no_gp,Full period,agegroup,5,1958145,534,.00027270708,.00025053092,.00029684621,.8300522,.76255351,.90352565
covid,stroke_no_gp,Full period,male,0,3889190,431,.00011081999,.00010083636,.00012179208,.33730835,.30692068,.37070465
covid,stroke_no_gp,Full period,male,1,4277009,578,.00013514116,.00012456108,.00014661992,.41133592,.37913278,.44627437
covid,stroke_no_gp,Full period,ethnicity,1,5010043,703,.00014031815,.00013031974,.00015108367,.42709339,.39666069,.45986092
covid,stroke_no_gp,Full period,ethnicity,2,84723,,.000059015852,.000024564039,.00014178739,.1796295,.074766792,.43156534
covid,stroke_no_gp,Full period,ethnicity,3,856412,74,.00008640701,.000068801644,.00010851734,.26300132,.209415,.33029968
covid,stroke_no_gp,Full period,ethnicity,4,280401,19,.000067760098,.000043221022,.00010623144,.2062448,.13155398,.32334194
covid,stroke_no_gp,Full period,ethnicity,5,145879,6,.000041129977,.000018478082,.000091550355,.12518936,.056242663,.27865639
covid,stroke_no_gp,Full period,ethnicity,6,1788741,202,.00011292859,.000098381533,.00012962663,.3437264,.29944879,.39455104
covid,stroke_no_gp,Full period,af,0,7087155,721,.00010173335,.000094572075,.00010943689,.30965087,.28785375,.33309853
covid,stroke_no_gp,Full period,af,1,1079044,288,.00026690293,.00023779122,.00029957865,.8123858,.723777,.91184253
covid,stroke_no_gp,Full period,anticoag_rx,0,7158884,768,.00010727929,.000099954144,.00011514127,.32653132,.30423543,.35046121
covid,stroke_no_gp,Full period,anticoag_rx,1,1007315,241,.00023924989,.00021087303,.00027144537,.72821683,.64184475,.82621187
covid,stroke_no_gp,Full period,long_hosp_stay,0,4314428,326,.00007556042,.000067787667,.000084224426,.22998703,.2063287,.25635809
covid,stroke_no_gp,Full period,long_hosp_stay,1,3851771,683,.00017732102,.0001645091,.00019113075,.53972089,.50072455,.58175421
covid,stroke_no_gp,0 days,Overall,0,1885999,561,.00029745509,.00027383165,.00032311652,.90537894,.83347511,.98348588
covid,stroke_no_gp,30 days,Overall,0,1312354,142,.00010820251,.000091792266,.00012754652,.32934138,.27939272,.38821971
covid,stroke_no_gp,60 days,Overall,0,1003802,78,.000077704564,.000062239626,.000097012155,.23651327,.18944186,.29528075
covid,stroke_no_gp,90 days,Overall,0,755795,50,.000066155502,.000050140414,.000087285895,.20136081,.15261489,.26567644
covid,stroke_no_gp,120 days,Overall,0,3208249,178,.000055481978,.000047901784,.000064261694,.16887327,.14580105,.19559653
covid,stroke_cens_gp,Full period,Overall,0,8152632,1128,.00013836022,.000130517,.00014667476,.42113394,.39726111,.44644132
covid,stroke_cens_gp,Full period,agegroup,1,1790918,46,.000025685151,.00001923886,.000034291377,.078179181,.058558278,.10437438
